 FINAL RESULT:
   19319.683170169261        66.193562113806848        50.727285346853691     
   19952.623149688789        66.766246124442361        51.773942550452823     
   20606.299132700005        67.349197617756928        52.846691201045076     
   21281.390459827133        67.942584475827957        53.946102215462872     
   21978.598727848275        68.546571848352940        55.072764747746682     
   22698.648518838214        69.161321856100514        56.227287152252558     
   23442.288153199228        69.786993322488883        57.410298021482170     
   24210.290467361800        70.423741542150154        58.622447297663399     
   25003.453616964347        71.071718095515052        59.864407455787060     
   25822.601906345957        71.731070718402847        61.136874754379569     
   26668.586645214808        72.401943235302767        62.440570548815565     
   27542.287033381690        73.084475564453328        63.776242660479078     
   28444.611074479140        73.778803801961487        65.144666793626598     
   29376.496519615306        74.485060391039653        66.546647990445294     
   30338.911841942718        75.203374380992955        67.983022113591389     
   31332.857243155890        75.933871778880075        69.454657344508149     
   32359.365692962809        76.676675994831541        70.962455685106562     
   33419.504002611429        77.431908379895177        72.507354450005423     
   34514.373933585644        78.199688853049864        74.090327736511682     
   35645.113342624463        78.980136611757359        75.712387859905760     
   36812.897364253127        79.773370918190750        77.374586742391799     
   38018.939632056128        80.579511951176300        79.078017245281288     
   39264.493539960014        81.398681711982334        80.823814435565268     
   40550.853544838435        82.231004970488200        82.613156779972456     
   41879.356511791826        83.076610237009547        84.447267261822404     
   43251.383103500884        83.935630744219623        86.327414418412786     
   44668.359215096345        84.808205423214531        88.254913299224441     
   46131.757456037907        85.694479857846687        90.231126347806253     
   47643.098680541560        86.594607201987955        92.257464212708683     
   49203.953568145109        87.508749045352118        94.335386495182732     
   50815.944256056100        88.437076214872633        96.466402443470486     
   52480.746024977227        89.379769500315376        98.652071605306134     
   54200.089040162384        90.337020294752975        100.89400445167672     
   55975.760149511043        91.309031142627816        103.19386298591449     
   57809.604740571871        92.296016190328274        105.55336135281021     
   59703.528658383657        93.298201536379281        107.97426646262831     
   61659.500186148223        94.315825480445938        110.45839864471812     
   63679.552090791622        95.349138672282677        113.00763234486686     
   65765.783735542122        96.398404163480549        115.62389687970568     
   67920.363261718434        97.463897366312580        118.30917726038727     
   70145.529841997137        98.545905925140261        121.06551509650143     
   72443.596007499058        99.644729506687341        123.89500958982640     
   74816.950051115535        100.76067951603011        126.79981862611065     
   77268.058509570212        101.89407874538628        129.78215997168513     
   79799.468726797684        103.04526096275374        132.84431258040294     
   82413.811501300297        104.21457044716442        135.98861801520229     
   85113.803820237590        105.40236147683814        139.21748198756552     
   87902.251683088427        106.60899777586714        142.53337601729808     
   90782.053017818616        107.83485192429501        145.93883921441602     
   93756.200692588114        109.08030473561810        149.43648018450969     
   96827.785626124867        110.34574460486242        153.02897905875184     
   100000.00000000000        111.63156682953971        156.71908964972630     
